"TimePeriod","GeoTypeDesc","GeoID","GeoRank","BoroID","Borough","Geography","Area","Annual mean mcg/m3","Summer mean mcg/m3","Winter mean mcg/m3"
"2024","Citywide","1","0","-","-","New York City","New York City","6.3","7.9","6.0"
"2024","Borough","3","1","3","Manhattan","Manhattan","Manhattan","7.7","9.6","7.2"
"2024","Borough","2","1","2","Brooklyn","Brooklyn","Brooklyn","6.4","8.1","6.3"
"2024","Borough","1","1","1","Bronx","Bronx","Bronx","6.4","8.2","6.1"
"2024","Borough","5","1","5","Staten Island","Staten Island","Staten Island","5.9","7.3","5.9"
"2024","Borough","4","1","4","Queens","Queens","Queens","5.9","7.5","5.6"
"2024","UHF 42","306","4","3","Manhattan","Chelsea - Clinton","Chelsea - Clinton  Manhattan","9.5","11.6","8.4"
"2024","UHF 42","308","4","3","Manhattan","Greenwich Village - SoHo","Greenwich Village - SoHo  Manhattan","8.9","11.0","8.0"
"2024","UHF 42","307","4","3","Manhattan","Gramercy Park - Murray Hill","Gramercy Park - Murray Hill  Manhattan","8.9","10.9","7.9"
"2024","UHF 42","309","4","3","Manhattan","Union Square - Lower East Side","Union Square - Lower East Side  Manhattan","8.4","10.5","7.7"
"2024","UHF 42","310","4","3","Manhattan","Lower Manhattan","Lower Manhattan  Manhattan","8.0","9.9","7.5"
"2024","UHF 42","201","4","2","Brooklyn","Greenpoint","Greenpoint  Brooklyn","7.4","9.1","7.1"
"2024","UHF 42","202","4","2","Brooklyn","Downtown - Heights - Slope","Downtown - Heights - Slope  Brooklyn","7.2","9.0","7.0"
"2024","UHF 42","401","4","4","Queens","Long Island City - Astoria","Long Island City - Astoria  Queens","7.3","9.0","7.0"
"2024","UHF 42","205","4","2","Brooklyn","Sunset Park","Sunset Park  Brooklyn","7.1","8.8","6.9"
"2024","UHF 42","211","4","2","Brooklyn","Williamsburg - Bushwick","Williamsburg - Bushwick  Brooklyn","7.2","8.9","6.9"
"2024","UHF 42","304","4","3","Manhattan","Upper West Side","Upper West Side  Manhattan","6.8","8.4","6.8"
"2024","UHF 42","305","4","3","Manhattan","Upper East Side","Upper East Side  Manhattan","7.0","8.7","6.8"
"2024","UHF 42","302","4","3","Manhattan","Central Harlem - Morningside Heights","Central Harlem - Morningside Heights  Manhattan","6.8","8.5","6.7"
"2024","UHF 42","107","4","1","Bronx","Hunts Point - Mott Haven","Hunts Point - Mott Haven  Bronx","6.9","8.5","6.6"
"2024","UHF 42","303","4","3","Manhattan","East Harlem","East Harlem  Manhattan","6.7","8.3","6.6"
"2024","UHF 42","301","4","3","Manhattan","Washington Heights","Washington Heights  Manhattan","6.7","8.4","6.5"
"2024","UHF 42","402","4","4","Queens","West Queens","West Queens  Queens","6.8","8.4","6.5"
"2024","UHF 42","106","4","1","Bronx","High Bridge - Morrisania","High Bridge - Morrisania  Bronx","6.6","8.2","6.4"
"2024","UHF 42","203","4","2","Brooklyn","Bedford Stuyvesant - Crown Heights","Bedford Stuyvesant - Crown Heights  Brooklyn","6.6","8.2","6.4"
"2024","UHF 42","501","4","5","Staten Island","Port Richmond","Port Richmond  Staten Island","6.4","7.9","6.4"
"2024","UHF 42","105","4","1","Bronx","Crotona - Tremont","Crotona - Tremont  Bronx","6.6","8.4","6.3"
"2024","UHF 42","101","4","1","Bronx","Kingsbridge - Riverdale","Kingsbridge - Riverdale  Bronx","6.3","8.2","6.2"
"2024","UHF 42","206","4","2","Brooklyn","Borough Park","Borough Park  Brooklyn","6.3","8.0","6.2"
"2024","UHF 42","103","4","1","Bronx","Fordham - Bronx Pk","Fordham - Bronx Pk  Bronx","6.4","8.3","6.1"
"2024","UHF 42","204","4","2","Brooklyn","East New York","East New York  Brooklyn","6.3","7.9","6.1"
"2024","UHF 42","207","4","2","Brooklyn","East Flatbush - Flatbush","East Flatbush - Flatbush  Brooklyn","6.2","7.9","6.1"
"2024","UHF 42","209","4","2","Brooklyn","Bensonhurst - Bay Ridge","Bensonhurst - Bay Ridge  Brooklyn","6.2","7.9","6.1"
"2024","UHF 42","405","4","4","Queens","Ridgewood - Forest Hills","Ridgewood - Forest Hills  Queens","6.2","7.8","6.1"
"2024","UHF 42","502","4","5","Staten Island","Stapleton - St. George","Stapleton - St. George  Staten Island","6.1","7.6","6.1"
"2024","UHF 42","503","4","5","Staten Island","Willowbrook","Willowbrook  Staten Island","6.0","7.4","6.0"
"2024","UHF 42","104","4","1","Bronx","Pelham - Throgs Neck","Pelham - Throgs Neck  Bronx","6.3","8.1","5.8"
"2024","UHF 42","208","4","2","Brooklyn","Canarsie - Flatlands","Canarsie - Flatlands  Brooklyn","5.8","7.4","5.8"
"2024","UHF 42","210","4","2","Brooklyn","Coney Island - Sheepshead Bay","Coney Island - Sheepshead Bay  Brooklyn","5.9","7.5","5.8"
"2024","UHF 42","102","4","1","Bronx","Northeast Bronx","Northeast Bronx  Bronx","6.1","8.1","5.7"
"2024","UHF 42","403","4","4","Queens","Flushing - Clearview","Flushing - Clearview  Queens","6.0","7.6","5.6"
"2024","UHF 42","407","4","4","Queens","Southwest Queens","Southwest Queens  Queens","5.8","7.3","5.6"
"2024","UHF 42","504","4","5","Staten Island","South Beach - Tottenville","South Beach - Tottenville  Staten Island","5.8","7.0","5.6"
"2024","UHF 42","408","4","4","Queens","Jamaica","Jamaica  Queens","5.8","7.3","5.4"
"2024","UHF 42","406","4","4","Queens","Fresh Meadows","Fresh Meadows  Queens","5.6","7.1","5.3"
"2024","UHF 42","410","4","4","Queens","Rockaways","Rockaways  Queens","5.3","6.7","5.1"
"2024","UHF 42","404","4","4","Queens","Bayside - Little Neck","Bayside - Little Neck  Queens","5.5","7.1","5.0"
"2024","UHF 42","409","4","4","Queens","Southeast Queens","Southeast Queens  Queens","5.4","6.9","5.0"
"2024","Community District","105","6","3","Manhattan","Midtown (CD5)","Midtown (CD5)  Manhattan","10.5","12.8","8.8"
"2024","Community District","102","6","3","Manhattan","Greenwich Village and Soho (CD2)","Greenwich Village and Soho (CD2)  Manhattan","9.4","11.6","8.3"
"2024","Community District","104","6","3","Manhattan","Clinton and Chelsea (CD4)","Clinton and Chelsea (CD4)  Manhattan","8.8","10.8","8.0"
"2024","Community District","106","6","3","Manhattan","Stuyvesant Town and Turtle Bay (CD6)","Stuyvesant Town and Turtle Bay (CD6)  Manhattan","8.4","10.3","7.6"
"2024","Community District","101","6","3","Manhattan","Financial District (CD1)","Financial District (CD1)  Manhattan","8.1","10.0","7.5"
"2024","Community District","103","6","3","Manhattan","Lower East Side and Chinatown (CD3)","Lower East Side and Chinatown (CD3)  Manhattan","8.1","10.0","7.5"
"2024","Community District","301","6","2","Brooklyn","Greenpoint and Williamsburg (CD1)","Greenpoint and Williamsburg (CD1)  Brooklyn","7.5","9.2","7.2"
"2024","Community District","402","6","4","Queens","Woodside and Sunnyside (CD2)","Woodside and Sunnyside (CD2)  Queens","7.4","9.0","7.1"
"2024","Community District","302","6","2","Brooklyn","Fort Greene and Brooklyn Heights (CD2)","Fort Greene and Brooklyn Heights (CD2)  Brooklyn","7.2","9.0","7.0"
"2024","Community District","306","6","2","Brooklyn","Park Slope and Carroll Gardens (CD6)","Park Slope and Carroll Gardens (CD6)  Brooklyn","7.3","9.1","7.0"
"2024","Community District","108","6","3","Manhattan","Upper East Side (CD8)","Upper East Side (CD8)  Manhattan","7.1","8.7","6.9"
"2024","Community District","202","6","1","Bronx","Hunts Point and Longwood (CD2)","Hunts Point and Longwood (CD2)  Bronx","7.2","8.9","6.8"
"2024","Community District","307","6","2","Brooklyn","Sunset Park (CD7)","Sunset Park (CD7)  Brooklyn","7.0","8.8","6.8"
"2024","Community District","107","6","3","Manhattan","Upper West Side (CD7)","Upper West Side (CD7)  Manhattan","6.8","8.3","6.7"
"2024","Community District","109","6","3","Manhattan","Morningside Heights and Hamilton Heights (CD9)","Morningside Heights and Hamilton Heights (CD9)  Manhattan","6.8","8.5","6.7"
"2024","Community District","110","6","3","Manhattan","Central Harlem (CD10)","Central Harlem (CD10)  Manhattan","6.8","8.5","6.7"
"2024","Community District","304","6","2","Brooklyn","Bushwick (CD4)","Bushwick (CD4)  Brooklyn","6.9","8.6","6.7"
"2024","Community District","111","6","3","Manhattan","East Harlem (CD11)","East Harlem (CD11)  Manhattan","6.7","8.3","6.6"
"2024","Community District","201","6","1","Bronx","Mott Haven and Melrose (CD1)","Mott Haven and Melrose (CD1)  Bronx","6.8","8.4","6.6"
"2024","Community District","303","6","2","Brooklyn","Bedford Stuyvesant (CD3)","Bedford Stuyvesant (CD3)  Brooklyn","6.8","8.5","6.6"
